id,question,answer,category,task_type,evaluation_method
1,Which consensus mechanism has received more attention in terms of energy efficiency? Options: A) Proof of Work (PoW) B) Proof of Stake (PoS) C) Proof of Capacity (PoC) D) Proof of Importance (PoI),Proof of Stake (PoS),dmind_blockchain_fundamentals,multiple_choice,rule_based
2,What does the 'double-spending problem' refer to in blockchain? Options: A) The same cryptocurrency being spent twice B) Transaction fees being charged twice C) Miners receiving double rewards D) Two blocks being mined simultaneously,The same cryptocurrency being spent twice,dmind_blockchain_fundamentals,multiple_choice,rule_based
3,Which of the following is NOT an author of the Bitcoin whitepaper? Options: A) Satoshi Nakamoto B) Vitalik Buterin C) Nick Szabo D) Hal Finney,Vitalik Buterin,dmind_blockchain_fundamentals,multiple_choice,rule_based
4,How many Bitcoin ETFs were approved by the US in early 2024? Options: A) 5 B) 8 C) 11 D) 15,11,dmind_blockchain_fundamentals,multiple_choice,rule_based
5,Which of the following technologies was NOT designed to solve blockchain scalability issues? Options: A) Sharding B) Sidechains C) Lightning Network D) Zero-Knowledge Proofs,Zero-Knowledge Proofs,dmind_blockchain_fundamentals,multiple_choice,rule_based
6,What is 'Gas' primarily used for in blockchain? Options: A) Providing energy to miners B) Calculating transaction fees C) Measuring block size D) Evaluating network congestion,Calculating transaction fees,dmind_blockchain_fundamentals,multiple_choice,rule_based
7,Which blockchain architecture design has received more attention currently? Options: A) Monolithic architecture B) Modular architecture C) Layered architecture D) Microservice architecture,Modular architecture,dmind_blockchain_fundamentals,multiple_choice,rule_based
8,What does 'genesis block' refer to in blockchain? Options: A) The newest block B) The block containing most transactions C) The first block in the chain D) The block manually created by founders,The first block in the chain,dmind_blockchain_fundamentals,multiple_choice,rule_based
9,Which of the following is NOT a blockchain consensus mechanism? Options: A) Proof of Work (PoW) B) Proof of Stake (PoS) C) Delegated Proof of Stake (DPoS) D) Proof of Authority (PoA),Proof of Authority (PoA),dmind_blockchain_fundamentals,multiple_choice,rule_based
10,Which of the following is NOT a characteristic of Bitcoin? Options: A) Decentralization B) Limited supply C) Programmability D) Peer-to-peer transactions,Programmability,dmind_blockchain_fundamentals,multiple_choice,rule_based
11,What does 'cold storage' refer to in blockchain? Options: A) Storing cryptocurrency on devices not connected to the internet B) Storing blockchain data in low-temperature environments C) Wallet addresses not used for a long time D) Frozen assets,Storing cryptocurrency on devices not connected to the internet,dmind_blockchain_fundamentals,multiple_choice,rule_based
12,Which of the following is NOT a blockchain data structure? Options: A) Hash table B) Binary tree C) Merkle tree D) Linked list,Binary tree,dmind_blockchain_fundamentals,multiple_choice,rule_based
13,Which of the following is NOT a challenge faced by blockchain? Options: A) Scalability B) Energy consumption C) Centralized control D) User privacy,Centralized control,dmind_blockchain_fundamentals,multiple_choice,rule_based
14,What is the primary use of 'public key' in blockchain? Options: A) Signing transactions B) Receiving funds C) Decrypting messages D) Verifying identity,Receiving funds,dmind_blockchain_fundamentals,multiple_choice,rule_based
15,What does 'asymmetric encryption' refer to in blockchain? Options: A) Using keys of different lengths B) Using a system with public and private keys C) Asymmetric processes of encryption and decryption D) Different nodes using different encryption algorithms,Using a system with public and private keys,dmind_blockchain_fundamentals,multiple_choice,rule_based
16,What is the main purpose of 'hash functions' in blockchain? Options: A) Encrypting user data B) Generating fixed-length data fingerprints C) Verifying user identity D) Calculating transaction fees,Generating fixed-length data fingerprints,dmind_blockchain_fundamentals,multiple_choice,rule_based
17,Which of the following is NOT a characteristic of blockchain? Options: A) Traceability B) Reversibility C) Distributed storage D) Consensus mechanism,Reversibility,dmind_blockchain_fundamentals,multiple_choice,rule_based
18,What does 'confirmation' refer to in blockchain? Options: A) A transaction being included in a block and added to the blockchain B) A user verifying transaction details C) A transaction being selected by miners D) The recipient confirming receipt of funds,A transaction being included in a block and added to the blockchain,dmind_blockchain_fundamentals,multiple_choice,rule_based
19,Which of the following is NOT a blockchain data storage method? Options: A) On-chain storage B) Off-chain storage C) IPFS storage D) Centralized server storage,Centralized server storage,dmind_blockchain_fundamentals,multiple_choice,rule_based
20,What is a 'Decentralized Autonomous Organization (DAO)' in blockchain? Options: A) An organization managed by smart contracts B) A blockchain development team C) A miners' alliance D) A blockchain regulatory body,An organization managed by smart contracts,dmind_blockchain_fundamentals,multiple_choice,rule_based
21,Which of the following is NOT a blockchain consensus participant? Options: A) Miners B) Validators C) Regulators D) Full nodes,Regulators,dmind_blockchain_fundamentals,multiple_choice,rule_based
22,Which of the following is NOT a blockchain governance model? Options: A) On-chain governance B) Off-chain governance C) Token voting D) Central decision-making,Central decision-making,dmind_blockchain_fundamentals,multiple_choice,rule_based
23,Which of the following is NOT a privacy coin in blockchain? Options: A) Monero B) Zcash C) Dash D) Bitcoin,Bitcoin,dmind_blockchain_fundamentals,multiple_choice,rule_based
24,What is the main purpose of 'difficulty adjustment' in blockchain? Options: A) Enhancing network security B) Maintaining stable block generation time C) Reducing energy consumption D) Improving transaction throughput,Maintaining stable block generation time,dmind_blockchain_fundamentals,multiple_choice,rule_based
25,Which of the following is NOT a security threat to blockchain? Options: A) 51% attack B) Double-spending attack C) Sybil attack D) Distributed storage,Distributed storage,dmind_blockchain_fundamentals,multiple_choice,rule_based
26,What is the main purpose of 'zero-knowledge proofs' in blockchain? Options: A) Improving transaction speed B) Protecting user privacy C) Reducing storage requirements D) Enhancing network connectivity,Protecting user privacy,dmind_blockchain_fundamentals,multiple_choice,rule_based
27,Which of the following is NOT a design goal of blockchain consensus mechanisms? Options: A) Security B) Decentralization C) Scalability D) Centralized control,Centralized control,dmind_blockchain_fundamentals,multiple_choice,rule_based
28,What is the main purpose of 'state channels' in blockchain? Options: A) Improving transaction throughput B) Enhancing privacy protection C) Enabling cross-chain transactions D) Storing large amounts of data,Improving transaction throughput,dmind_blockchain_fundamentals,multiple_choice,rule_based
29,Which of the following are core features of blockchain? Options: A) Decentralization B) Immutability C) Central control D) Transparency,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
30,Which of the following are application areas of blockchain? Options: A) Supply chain management B) Digital identity C) Central banking system D) Decentralized finance,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
31,Which of the following are Layer 2 scaling solutions for blockchain? Options: A) Sharding B) State channels C) New consensus mechanisms D) Rollups,"B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
32,Which of the following are major challenges faced by blockchain? Options: A) Scalability B) Energy consumption C) User-friendliness D) Regulatory compliance,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
33,Which of the following are security threats to blockchain? Options: A) 51% attack B) Distributed storage C) Sybil attack D) Double-spending attack,"A, C, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
34,Which of the following are blockchain privacy protection technologies? Options: A) Zero-knowledge proofs B) Ring signatures C) Public broadcasting D) Coin mixing technology,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
35,Which of the following are blockchain interoperability solutions? Options: A) Cross-chain technology B) Centralized exchanges C) Blockchain bridges D) Unified standards,"A, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
36,Which of the following are blockchain scalability metrics? Options: A) Transactions per second (TPS) B) Number of miners C) Block size D) Confirmation time,"A, C, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
37,Which of the following are blockchain governance models? Options: A) On-chain governance B) Central decision-making C) Token voting D) Forced execution,"A, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
38,Which of the following are blockchain consensus participants? Options: A) Miners B) Validators C) Regulators D) Full nodes,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
39,Which of the following are blockchain identity verification methods? Options: A) Public key encryption B) Digital signatures C) Central identity verification D) Multi-signatures,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
40,Which of the following are blockchain fork types? Options: A) Hard fork B) Left fork C) Soft fork D) Up fork,"A, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
41,Which of the following are blockchain infrastructure development trends? Options: A) Bitcoin L2 scaling solutions B) Re-staking technology C) Centralized control D) Modular blockchain,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
42,Which of the following are blockchain node types? Options: A) Full nodes B) Central nodes C) Light nodes D) Master nodes,"A, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
43,Which of the following are cryptographic foundations of blockchain? Options: A) Hash functions B) Asymmetric encryption C) Central authentication D) Digital signatures,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
44,Which of the following are privacy coins in blockchain? Options: A) Bitcoin B) Monero C) Ethereum D) Zcash,"B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
45,Which of the following are blockchain data types? Options: A) Transaction data B) State data C) Centralized data D) Block data,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
46,Which of the following are design goals of blockchain consensus mechanisms? Options: A) Security B) Decentralization C) Scalability D) Centralized control,"A, B, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
47,Which of the following are main components of blockchain? Options: A) Blocks B) Transactions C) Servers D) Consensus mechanisms,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
48,Which of the following are characteristics of blockchain? Options: A) Traceability B) Reversibility C) Distributed storage D) Consensus mechanism,"A, C, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
49,"Which of the following information is contained in a blockchain ""block header""? Options: A) Timestamp B) Hash of the previous block C) Personal information of miners D) Difficulty target","A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
50,Which of the following blockchain infrastructure areas received venture capital attention in 2024? Options: A) Bitcoin Layer 2 B) Re-staking technology C) Centralized exchanges D) Developer tools,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
51,Which sharding technology received more attention in 2024? Options: A) State sharding B) Transaction sharding C) Network sharding D) Data availability sharding,Data availability sharding,dmind_blockchain_fundamentals,multiple_choice,rule_based
52,What technology did Bitcoin ETFs approved in early 2024 use to provide transparency of underlying assets? Options: A) Zero-knowledge proofs B) Chainlink Proof of Reserve C) Centralized audits D) Federated oracles,Chainlink Proof of Reserve,dmind_blockchain_fundamentals,multiple_choice,rule_based
53,Which consensus mechanism does NOT use a voting mechanism to reach consensus? Options: A) Proof of Stake (PoS) B) Delegated Proof of Stake (DPoS) C) Proof of Work (PoW) D) Practical Byzantine Fault Tolerance (PBFT),Proof of Work (PoW),dmind_blockchain_fundamentals,multiple_choice,rule_based
54,How is 'cross-shard communication' primarily implemented in blockchain sharding technology? Options: A) Relay chains B) Receipt proofs C) Centralized servers D) Network-wide broadcasting,Receipt proofs,dmind_blockchain_fundamentals,multiple_choice,rule_based
55,Which of the following is NOT a characteristic of zero-knowledge proofs? Options: A) Completeness B) Soundness C) Zero-knowledge D) Reversibility,Reversibility,dmind_blockchain_fundamentals,multiple_choice,rule_based
56,What does 'Deterministic Finality' refer to in blockchain? Options: A) Once confirmed， transactions cannot be rolled back B) The blockchain has a definite end date C) Transaction processing has a definite time limit D) Smart contract execution results are deterministic,Once confirmed， transactions cannot be rolled back,dmind_blockchain_fundamentals,multiple_choice,rule_based
57,What is the primary use of the 'Ordinals protocol' in the Bitcoin network? Options: A) Improving transaction speed B) Creating NFTs and BRC-20 tokens on Bitcoin C) Enhancing privacy protection D) Enabling cross-chain transactions,Creating NFTs and BRC-20 tokens on Bitcoin,dmind_blockchain_fundamentals,multiple_choice,rule_based
58,What does the 'state explosion' problem primarily refer to in blockchain? Options: A) Unlimited growth of blockchain state data causing storage pressure B) Sudden surge in transaction volume C) Rapid increase in node count D) Consensus mechanism breakdown,Unlimited growth of blockchain state data causing storage pressure,dmind_blockchain_fundamentals,multiple_choice,rule_based
59,What is the main difference between 'Permissionless' and 'Permissioned' in blockchain? Options: A) Transaction speed B) Permission requirements for network participation C) Consensus mechanisms used D) Programming languages supported,Permission requirements for network participation,dmind_blockchain_fundamentals,multiple_choice,rule_based
60,Which Bitcoin Layer 2 solution has received more venture capital attention? Options: A) Lightning Network B) Liquid Network C) RSK D) Stacks,Stacks,dmind_blockchain_fundamentals,multiple_choice,rule_based
61,What technology do 'Light Clients' primarily rely on to verify transactions in blockchain? Options: A) Complete block downloads B) Simplified Payment Verification (SPV) C) Centralized servers D) Full node proxies,Simplified Payment Verification (SPV),dmind_blockchain_fundamentals,multiple_choice,rule_based
62,What is the main advantage of 'Stateless Clients' in blockchain? Options: A) Not needing to store complete state data B) Not requiring network connections C) Not needing to verify transactions D) Not requiring key management,Not needing to store complete state data,dmind_blockchain_fundamentals,multiple_choice,rule_based
63,Which blockchain interoperability solution has received more attention? Options: A) Hash Time Locked Contracts (HTLC) B) Relay chains C) IBC (Inter-Blockchain Communication Protocol) D) Atomic swaps,IBC (Inter-Blockchain Communication Protocol),dmind_blockchain_fundamentals,multiple_choice,rule_based
64,Which of the following is NOT a characteristic of 'State Channels' in blockchain? Options: A) Off-chain transactions B) Instant finality C) Network-wide broadcasting D) Multiple interactions,Network-wide broadcasting,dmind_blockchain_fundamentals,multiple_choice,rule_based
65,What is the primary use of 'Merkle Mountain Range' in blockchain? Options: A) Efficiently verifying transactions B) Improving mining efficiency C) Enhancing network connections D) Enabling cross-chain communications,Efficiently verifying transactions,dmind_blockchain_fundamentals,multiple_choice,rule_based
66,Which of the following technologies was NOT designed to solve blockchain data storage problems? Options: A) State pruning B) IPFS C) Off-chain storage D) Zero-knowledge proofs,Zero-knowledge proofs,dmind_blockchain_fundamentals,multiple_choice,rule_based
67,What is the main function of a 'Timestamp Server' in blockchain? Options: A) Synchronizing network time B) Proving data existed at a specific point in time C) Adjusting block generation speed D) Managing transaction queues,Proving data existed at a specific point in time,dmind_blockchain_fundamentals,multiple_choice,rule_based
68,Which blockchain privacy technology has received more attention in terms of regulatory compliance? Options: A) Ring signatures B) Confidential transactions C) Zero-knowledge proofs D) Coin mixing,Zero-knowledge proofs,dmind_blockchain_fundamentals,multiple_choice,rule_based
69,Which of the following is NOT a variant of the 'Byzantine Fault Tolerance' (BFT) algorithm in blockchain? Options: A) PBFT (Practical Byzantine Fault Tolerance) B) Tendermint C) HotStuff D) Nakamoto consensus,Nakamoto consensus,dmind_blockchain_fundamentals,multiple_choice,rule_based
70,What is the main purpose of 'Validator Rotation' in blockchain? Options: A) Improving transaction processing speed B) Enhancing network security C) Reducing energy consumption D) Simplifying protocol design,Enhancing network security,dmind_blockchain_fundamentals,multiple_choice,rule_based
71,Which of the following technologies was NOT designed to solve the 'frontend centralization' problem in blockchain? Options: A) Decentralized frontend hosting B) IPFS hosting C) ENS (Ethereum Name Service) D) Sharding,Sharding,dmind_blockchain_fundamentals,multiple_choice,rule_based
72,What does the 'Oracle Problem' primarily refer to in blockchain? Options: A) How to securely bring off-chain data onto the blockchain B) How to predict the future development of blockchain C) How to solve smart contract vulnerabilities D) How to improve transaction throughput,How to securely bring off-chain data onto the blockchain,dmind_blockchain_fundamentals,multiple_choice,rule_based
73,Which blockchain identity solution has received more attention? Options: A) Centralized identity providers B) Self-Sovereign Identity C) Federated identity D) Biometric identification,Self-Sovereign Identity,dmind_blockchain_fundamentals,multiple_choice,rule_based
74,Which of the following is NOT an advantage of 'Off-chain Computation' in blockchain? Options: A) Improving computational efficiency B) Reducing on-chain storage requirements C) Enhancing privacy protection D) Increasing decentralization,Increasing decentralization,dmind_blockchain_fundamentals,multiple_choice,rule_based
75,What is the main difference between 'Lightweight Clients' and 'Full Nodes' in blockchain? Options: A) Lightweight clients only validate block headers while full nodes validate all transactions B) Lightweight clients cannot send transactions while full nodes can C) Lightweight clients do not store data while full nodes do D) Lightweight clients are only for queries while full nodes are for mining,Lightweight clients only validate block headers while full nodes validate all transactions,dmind_blockchain_fundamentals,multiple_choice,rule_based
76,Which of the following technologies was NOT designed to improve blockchain consensus efficiency? Options: A) Delegated Proof of Stake (DPoS) B) Practical Byzantine Fault Tolerance (PBFT) C) Hybrid consensus D) Zero-knowledge proofs,Zero-knowledge proofs,dmind_blockchain_fundamentals,multiple_choice,rule_based
77,Which technology primarily applies 'Trustless Setup' in blockchain? Options: A) Proof of Work B) Proof of Stake C) Zero-knowledge proofs D) Sharding,Zero-knowledge proofs,dmind_blockchain_fundamentals,multiple_choice,rule_based
78,Which blockchain governance model has received more attention? Options: A) Off-chain governance B) On-chain governance C) Hybrid governance D) Representative governance,Hybrid governance,dmind_blockchain_fundamentals,multiple_choice,rule_based
79,Which of the following is NOT a function of the 'State Transition Function' in blockchain? Options: A) Validating transaction validity B) Updating blockchain state C) Generating new blocks D) Executing smart contracts,Generating new blocks,dmind_blockchain_fundamentals,multiple_choice,rule_based
80,What problem does the 'Longest Chain Rule' primarily solve in blockchain? Options: A) Transaction ordering B) Fork selection C) Block size limitations D) Transaction fee calculation,Fork selection,dmind_blockchain_fundamentals,multiple_choice,rule_based
81,Which of the following technologies was NOT designed to solve the 'initial distribution' problem in blockchain? Options: A) Airdrop B) Initial Coin Offering (ICO) C) Mining D) Sharding,Sharding,dmind_blockchain_fundamentals,multiple_choice,rule_based
82,What is the main purpose of the 'Difficulty Adjustment Algorithm' in blockchain? Options: A) Controlling the rate of new coin issuance B) Maintaining stable block generation time C) Preventing 51% attacks D) Reducing energy consumption,Maintaining stable block generation time,dmind_blockchain_fundamentals,multiple_choice,rule_based
83,Which of the following are characteristics of 'Layer 2' solutions in blockchain? Options: A) Built on top of the base layer B) Improving transaction throughput C) Replacing base layer consensus mechanisms D) Reducing transaction costs,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
84,Which of the following are current development directions for blockchain infrastructure? Options: A) Focus on security and privacy， including GDPR compliance B) Tokenization of physical assets C) Becoming more decentralized D) Making blockchain functions more complex,"A, B",dmind_blockchain_fundamentals,multiple_choice,rule_based
