No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
1,Basic,Which consensus mechanism has received more attention in terms of energy efficiency?,Proof of Work (PoW),Proof of Stake (PoS),Proof of Capacity (PoC),Proof of Importance (PoI),B,No
2,Basic,What does the 'double-spending problem' refer to in blockchain?,The same cryptocurrency being spent twice,Transaction fees being charged twice,Miners receiving double rewards,Two blocks being mined simultaneously,A,No
3,Basic,Which of the following is NOT an author of the Bitcoin whitepaper?,Satoshi Nakamoto,Vitalik Buterin,Nick Szabo,Hal Finney,B,No
4,Basic,How many Bitcoin ETFs were approved by the US in early 2024?,5,8,11,15,C,No
5,Basic,Which of the following technologies was NOT designed to solve blockchain scalability issues?,Sharding,Sidechains,Lightning Network,Zero-Knowledge Proofs,D,No
6,Basic,What is 'Gas' primarily used for in blockchain?,Providing energy to miners,Calculating transaction fees,Measuring block size,Evaluating network congestion,B,No
7,Basic,Which blockchain architecture design has received more attention currently?,Monolithic architecture,Modular architecture,Layered architecture,Microservice architecture,B,No
8,Basic,What does 'genesis block' refer to in blockchain?,The newest block,The block containing most transactions,The first block in the chain,The block manually created by founders,C,No
9,Basic,Which of the following is NOT a blockchain consensus mechanism?,Proof of Work (PoW),Proof of Stake (PoS),Delegated Proof of Stake (DPoS),Proof of Authority (PoA),D,No
10,Basic,Which of the following is NOT a characteristic of Bitcoin?,Decentralization,Limited supply,Programmability,Peer-to-peer transactions,C,No
11,Basic,What does 'cold storage' refer to in blockchain?,Storing cryptocurrency on devices not connected to the internet,Storing blockchain data in low-temperature environments,Wallet addresses not used for a long time,Frozen assets,A,No
12,Basic,Which of the following is NOT a blockchain data structure?,Hash table,Binary tree,Merkle tree,Linked list,B,No
13,Basic,Which of the following is NOT a challenge faced by blockchain?,Scalability,Energy consumption,Centralized control,User privacy,C,No
14,Basic,What is the primary use of 'public key' in blockchain?,Signing transactions,Receiving funds,Decrypting messages,Verifying identity,B,No
15,Basic,What does 'asymmetric encryption' refer to in blockchain?,Using keys of different lengths,Using a system with public and private keys,Asymmetric processes of encryption and decryption,Different nodes using different encryption algorithms,B,No
16,Basic,What is the main purpose of 'hash functions' in blockchain?,Encrypting user data,Generating fixed-length data fingerprints,Verifying user identity,Calculating transaction fees,B,No
17,Basic,Which of the following is NOT a characteristic of blockchain?,Traceability,Reversibility,Distributed storage,Consensus mechanism,B,No
18,Basic,What does 'confirmation' refer to in blockchain?,A transaction being included in a block and added to the blockchain,A user verifying transaction details,A transaction being selected by miners,The recipient confirming receipt of funds,A,No
19,Basic,Which of the following is NOT a blockchain data storage method?,On-chain storage,Off-chain storage,IPFS storage,Centralized server storage,D,No
20,Basic,What is a 'Decentralized Autonomous Organization (DAO)' in blockchain?,An organization managed by smart contracts,A blockchain development team,A miners' alliance,A blockchain regulatory body,A,No
21,Basic,Which of the following is NOT a blockchain consensus participant?,Miners,Validators,Regulators,Full nodes,C,No
