No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
1,Basic,What was the main reason for The DAO project's failure?,Lack of market interest,Smart contract vulnerability exploited by hackers,Regulatory policy prohibition,Team infighting,B,Single Choice
2,Basic,Which of the following is NOT a common application area for DAOs?,Investment funds,Protocol governance,Social clubs,Centralized banks,D,Single Choice
3,Basic,"What is on-chain governance?""",Government regulatory process,Off-chain discussion process,Process of recording and executing decisions using blockchain,Miners controlling decisions,C,Single Choice
4,Basic,What is the main reason DAOs typically use multi-signature wallets?,Improving transaction speed,Reducing transaction fees,Enhancing fund security and decentralized decision-making,Simplifying operations,C,Single Choice
5,Basic,"What is voting weight?""",Government-allocated quota,Influence based on token holdings or other factors,Weight of voting machines,Voter age,B,Single Choice
6,Basic,"What is a token voting system?""",Voting with physical tokens,Voting rights proportional to token quantity,Only specific addresses can vote,Token design for elections,B,Single Choice
7,Basic,"What is a one person, ""one vote ""system?""",Wallet addresses limited to one vote,Only founders can vote,Equal voting rights for each verified identity,Daily voting limits,C,Single Choice
8,Basic,"What is a voting threshold?""",Minimum token holdings,Minimum percentage of approval votes,Location of voting stations,Voting age limit,B,Single Choice
9,Basic,"What is a proposal creation threshold?""",Minimum token requirement,Document length limit,Review time,Funding cap,A,Single Choice
10,Basic,"What is a voting period?""",Voting time window,Voting rights validity period,Election interval,Vote counting time,A,Single Choice
11,Basic,"What is the role of a timelock in DAO governance?""",Limiting voting time,Security mechanism that delays execution,DAO existence time counter,Discussion time recorder,B,Single Choice
12,Basic,"What is meta-governance?""",Virtual world governance,Governance about governance rules,AI control,Multiple DAO coordination,B,Single Choice
13,Basic,"What is Conviction Voting?""",Voting based on criminal records,Voting power accumulating over time,Only allowing strong supporters to vote,Video conference voting,B,Single Choice
14,Basic,"What is Holographic Voting?""",Voting with holographic technology,Combining prediction markets with voting,Virtual reality voting,Age-weighted voting,B,Single Choice
15,Basic,"What is a sub-DAO?""",DAO for children,Subsidiary organization created by a main DAO,Failed project,Test version,B,Single Choice
16,Basic,"What is the importance of token distribution in a DAO?""",Founder compensation,Transaction fees,Marketing strategy,Determining governance power distribution,D,Single Choice
17,Basic,"What is the role of an airdrop in DAO launches?""",Drone delivery of tokens,Founder exit method,DAO advertisement,Distributing governance tokens to users,D,Single Choice
18,Basic,"What are proposal types?""",Document formats,Encryption levels,Color coding,Categories such as funding allocation,D,Single Choice
19,Basic,"What is governance participation rate?""",Government participation ratio,Token or member participation ratio,Member activity level,Social media engagement rate,B,Single Choice
20,Basic,"What is the importance of tokenomics in DAOs?""",Transaction fees,Token supply, distribution, and incentive design,Token name design,Exchange listing,B,Single Choice
21,Basic,"What is the role of a temperature check in DAO governance?""",Monitoring server temperature,Non-binding preliminary vote,Emotional survey,Climate control,B,Single Choice
22,Basic,"What is a signal proposal?""",Improving network signal,Non-binding expression of community opinion,Created only by signal officers,Morse code proposal,B,Single Choice
23,Basic,"What are on-chain actions?""",Blockchain operations,Physical activities,Miner operations,DAO connections,A,Single Choice
24,Basic,"What is proposal execution?""",Punishing creators,Implementing approved decisions,Deleting failed proposals,Proposal display,B,Single Choice
25,Basic,"What is automatic execution?""",Automatic proposal creation,Automatic voting,Automatic execution of proposals through smart contracts,Striking a pose,C,Single Choice
26,Basic,"What is governance risk?""",Government shutdown,Potential issues related to governance,Health risks,Token price risk only,B,Single Choice
27,Basic,"What is governance incentivization?""",Tax breaks,Mandatory voting penalties,Participation reward mechanisms,Founder bonuses only,C,Single Choice
28,Basic,"What is liquid democracy?""",Changing rules system,Liquidity governance,Combination of direct democracy and delegation,Voting on water,C,Single Choice
29,Basic,"What is governance tokenization?""",Digitization of voting,Government takeover,Exercising governance rights using tokens,Document templates,C,Single Choice
30,Basic,"What is a proposal veto?""",Canceling your own vote,Specific entity blocking execution,Deleting proposals,Right to vote against,B,Single Choice
31,Basic,"What is an emergency shutdown mechanism?""",Emergency office closure,Pausing functionality during security threats,Quickly ending voting,Destroying tokens,B,Single Choice
32,Basic,"What is governance migration?""",Member relocation,Transferring governance systems,Renaming,Changing logos,B,Single Choice
33,Basic,Which of the following are core features of DAOs?,Decentralized decision-making,Blockchain-based transparency,Code-executed rules,Community ownership,A/B/D,Multiple Choice
34,Basic,What challenges might DAOs face?,Low participation,Legal uncertainty,Technical complexity,Coordination efficiency,A/B/C,Multiple Choice
35,Basic,Which of the following are common types of DAOs?,Protocol DAOs,Investment DAOs,Social DAOs,Service DAOs,A/C/D,Multiple Choice
36,Basic,What purposes can multi-signature wallets serve in DAOs?,Treasury management,Proposal execution,Contract updates,Parameter management,A/B/C/D,Multiple Choice
37,Basic,Which of the following are common DAO voting mechanisms?,Token-weighted voting,One person, one vote,Quadratic voting,Conviction voting,A/B/C/D,Multiple Choice
38,Basic,What types might DAO governance proposals include?,Fund allocation,Parameter changes,Technical upgrades,Strategic decisions,A/B/C/D,Multiple Choice
39,Basic,Which of the following are DAO governance tool platforms?,Aragon,DAOhaus,Colony,Snapshot,B/C,Multiple Choice
40,Basic,What functions might governance tokens have?,Voting rights,Fee sharing,Access to features,Staking rewards,A/B/C/D,Multiple Choice
41,Basic,What types of assets might a DAO treasury contain?,Native tokens,Other cryptocurrencies,NFTs,Liquidity tokens,A/B/C/D,Multiple Choice
42,Basic,What are barriers to DAO governance participation?,Technical complexity,Time cost,Token thresholds,Information asymmetry,C/D,Multiple Choice
43,Basic,What strategies can improve DAO governance participation?,Governance incentives,Interface simplification,Educational documentation,Delegated voting,A/D,Multiple Choice
44,Basic,What are DAO governance risks?,Governance attacks,Governance fatigue,Plutocracy (rule by the wealthy),Execution failures,A/B/C/D,Multiple Choice
45,Basic,What categories might DAO token distribution include?,Community allocation,Team and advisors,Investors,Ecosystem,A/B/C/D,Multiple Choice
46,Basic,What are best practices for DAO governance?,Transparent decision-making,Clear guidelines,Multi-tiered governance,Regular reviews,A/B/C/D,Multiple Choice
47,Basic,What off-chain coordination tools might DAOs use?,Discord,Discourse forums,Telegram,GitHub,A/C/D,Multiple Choice
48,Basic,What factors might affect the quality of DAO governance decisions?,Information accessibility,Diversity of expertise,Discussion quality,Interest alignment,A/B/C/D,Multiple Choice
49,Basic,What security considerations exist for DAO governance?,Smart contract security,Multi-signature control,Timelocks,Emergency shutdown,A/B/C/D,Multiple Choice
50,Basic,What legal considerations exist for DAOs?,Entity structure,Regulatory compliance,Member liability,Cross-border issues,A/B/C,Multiple Choice
51,Basic,What transparency mechanisms exist in DAO governance?,On-chain voting records,Public discussions,Financial transparency,Meeting records,A/B/C/D,Multiple Choice
52,Basic,What are sources of revenue for DAOs?,Protocol fees,Token sales,Service fees,Investment returns,A/C/D,Multiple Choice
53,Basic,What expense categories might DAOs have?,Development grants,Operational costs,Marketing campaigns,Liquidity incentives,A/B/D,Multiple Choice
54,Basic,What scaling challenges do DAOs face?,Decision-making efficiency,Member coordination,Governance complexity,Technical limitations,A/B/C,Multiple Choice
55,Basic,What community building strategies might DAOs employ?,Contributor incentives,Community events,Educational programs,Transparent communication,A/B/D,Multiple Choice
56,Basic,What metrics might be used to assess DAO health?,Governance participation rate,Treasury growth,Contributor diversity,Proposal quality,A/C/D,Multiple Choice
57,Basic,What exit mechanisms might DAOs have?,Token redemption,Proposal exit rights,Fork options,Dissolution votes,A/B/D,Multiple Choice
58,Basic,What elements might a DAO onboarding process contain?,Community introduction,Governance guides,Contribution opportunities,Token acquisition,A/B/C/D,Multiple Choice
59,Basic,What knowledge management strategies might DAOs use?,Documentation libraries,Educational content,Decision records,Expertise mapping,A/B/C,Multiple Choice
60,Basic,What conflict resolution mechanisms might DAOs have?,Community mediation,Voting decisions,Arbitration systems,Fork options,A/B/C/D,Multiple Choice
61,Basic,What factors contribute to long-term DAO sustainability?,Financial health,Governance adaptability,Community vitality,Value creation,A/C/D,Multiple Choice
62,Basic,What differences exist between DAOs and traditional organizations?,Ownership distribution,Decision-making mechanisms,Transparency level,Entry/exit freedom,A/B/C/D,Multiple Choice
63,Intermediate,"How does Quadratic Voting solve the money rules problem?""",Prohibiting large holders,Making marginal costs increase progressively,Imposing additional fees,Limiting the number of votes,B,Single Choice
64,Intermediate,What is the main limitation of Quadratic Voting?,High computational complexity,Large storage requirements,Vulnerability to Sybil attacks,Cannot be implemented on Ethereum,C,Single Choice
65,Intermediate,What is the core mechanism of Conviction Voting?,Linear growth,Exponential growth,Logarithmic growth,Convex function accumulation then plateau,D,Single Choice
66,Intermediate,What type of governance problems is Conviction Voting particularly suited for?,Emergency decisions,Binary choices,Continuous resource allocation,Parameter adjustments,C,Single Choice
67,Intermediate,What is the innovation of Holographic Voting?,Holographic technology,Combining prediction markets with voting,3D display of results,Anonymous voting,B,Single Choice
68,Intermediate,"What is the role of predictors in Holographic Voting?""",Predicting token prices,Predicting proposals in community interest,Predicting voting outcomes,Predicting market trends,B,Single Choice
69,Intermediate,What is Tao Voting?,Taoist philosophical system,Dispute voting mechanism,Anonymous voting system,Time-based voting system,B,Single Choice
70,Intermediate,What is the main advantage of Tao Voting?,Simplifying processes,Providing dispute resolution mechanisms,Reducing vote counts,Eliminating Sybil attacks,B,Single Choice
71,Intermediate,What is the main advantage of delegated voting?,Reducing blockchain transactions,Improving participation rates and expert utilization,Simplifying interfaces,Lowering costs,B,Single Choice
72,Intermediate,What is the main challenge facing delegated voting?,Technical complexity,Power concentration and delegate responsibility,Storage requirements,Blockchain incompatibility,B,Single Choice
73,Intermediate,What is the main advantage of the vote off-chain, execute on-chain model?,More secure,Saving gas fees,More anonymous,Faster,B,Single Choice
74,Intermediate,How does off-chain voting ensure result validity?,Centralized verification,Cryptographic signatures and verification,Real-name voting,Limiting participants,B,Single Choice
75,Intermediate,What is the main purpose of timelocks?,Limiting voting time,Delaying execution for member response,Determining DAO existence time,Calculating discussion time,B,Single Choice
76,Intermediate,What is the typical timelock delay range?,A few minutes,A few hours,1-7 days,30+ days,C,Single Choice
77,Intermediate,What are the key considerations in governance token economics?,Token name and logo,Supply, distribution, inflation mechanisms, and incentive alignment,Exchange strategy,Technical implementation,B,Single Choice
78,Intermediate,What is the potential impact of token supply inflation on DAO governance?,Increasing participation rates,Diluting voting power and affecting long-term incentives,No impact,Improving proposal quality,B,Single Choice
79,Intermediate,What is a flash loan governance attack?,Lightning Network attack,Using flash loans for governance attacks,Flashlight interference,Quickly creating proposals,B,Single Choice
80,Intermediate,What is the main benefit of governance minimization?,Reducing operational costs,Reducing attack surface and coordination costs,Increasing token value,Simplifying marketing,B,Single Choice
81,Intermediate,What does meta-governance refer to?,Virtual world governance,Governance about governance systems,AI control,Multiple DAO coordination,B,Single Choice
82,Intermediate,What issues does meta-governance particularly focus on?,Token prices,Governance parameters and process design,Marketing strategies,Technical implementation,B,Single Choice
83,Intermediate,What is a governance fork?,Fork for voting,Splitting into two versions due to governance disagreements,Tool branch development,Restaurant meeting,B,Single Choice
84,Intermediate,What typically triggers a governance fork?,Code errors,Project direction disagreements,Server failures,Market fluctuations,B,Single Choice
85,Intermediate,What does multi-signature threshold refer to?,Multi-sig wallet capacity,Number or percentage of signatures required to execute transactions,Creation costs,Maximum number of signers,B,Single Choice
86,Intermediate,What factors need to be balanced when setting multi-signature thresholds?,Cost and speed,Security and operational efficiency,Anonymity and transparency,Compatibility and complexity,B,Single Choice
87,Intermediate,What is governance participation decline?,Reduced government regulation,Trend of decreasing participation over time,Reduction in membership,Application performance decline,B,Single Choice
88,Intermediate,What are the main causes of governance participation decline?,Token price drops,Governance fatigue, expertise requirements, and opportunity costs,Technical failures,Insufficient marketing,B,Single Choice
89,Intermediate,What are governance incentives?,Tax breaks,Participation reward mechanisms,Mandatory voting penalties,Founder bonuses,B,Single Choice
90,Intermediate,What is governance capture?,Recording meetings,Single entity controlling decisions,Documenting governance,Government takeover,B,Single Choice
91,Intermediate,What strategies help prevent governance capture?,Shutting down the DAO,Distributing voting power, mechanism design, and incentivizing participation,Increasing token price,Limiting proposal numbers,B,Single Choice
92,Intermediate,What are key considerations in proposal process design?,Visual appearance of proposals,Balancing accessibility, decision quality, and efficiency,Proposal length,Technical platform,B,Single Choice
93,Intermediate,What is a proposal review mechanism?,Government review,Community or designated reviewer assessment of proposal quality and impact,Automatic format checking,Format review only,B,Single Choice
94,Intermediate,What is a DAO legal wrapper?,Legal entity structure,DAO branding,Terms of service,Marketing materials,A,Single Choice
95,Intermediate,What is DAO-to-DAO governance?,DAO collaboration and joint decision-making,Two DAOs competing,DAO mergers,Communication protocol,A,Single Choice
96,Intermediate,What might key governance metrics include?,Website traffic only,Participation rates, proposal approval/rejection ratios, voting concentration, and governance trends,Governance difficulty,Color indicators,B,Single Choice
97,Intermediate,What is governance education?,School curriculum,Resources and programs to help community members understand and effectively participate in DAO governance,Government training,Technical training only,B,Single Choice
98,Intermediate,What is governance experimentation?,Randomly changing rules,Structured attempts to test new governance mechanisms, processes, or tools to improve decision-making,Unplanned changes,Technical experiments only,B,Single Choice
99,Intermediate,How are successful governance experiments typically conducted?,Without planning or evaluation,With clear hypotheses, controlled scope, metrics tracking, and outcome evaluation,Founder decisions only,No community involvement,B,Single Choice
100,Intermediate,What is a governance audit?,Financial audit,Systematic assessment of a DAO's governance systems, processes, and decisions,Code audit,Marketing audit,B,Single Choice
101,Intermediate,What features does Quadratic Voting have?,Voting cost proportional to the square of votes,Allowing expression of preference intensity,Mitigating wealth concentration effects,Requiring identity verification to prevent Sybil attacks,A/B/C,Multiple Choice
102,Intermediate,What characteristics does Conviction Voting have?,Voting power accumulating over time,Suitable for continuous resource allocation,Allowing dynamic preference adjustment,Reducing governance fatigue,B/C/D,Multiple Choice
103,Intermediate,What components make up Holographic Voting?,Prediction markets,Voting mechanisms,Predictor incentives,Threshold adjustments,B/C/D,Multiple Choice
104,Intermediate,What challenges might delegated voting systems face?,Delegate accountability issues,Power concentration risks,Delegate relationship transparency,Delegation revocation mechanism design,A/B/C/D,Multiple Choice
105,Intermediate,What technologies do off-chain voting systems typically use to ensure security?,Cryptographic signatures,Zero-knowledge proofs,IPFS storage,Distributed verification,B/D,Multiple Choice
106,Intermediate,What benefits do timelocks provide?,Allowing members to exit if they disagree with decisions,Providing time to discover and respond to malicious proposals,Increasing governance transparency,Preventing flash attacks,A/C/D,Multiple Choice
107,Intermediate,What factors need to be considered in governance token economics design?,Initial distribution,Inflation/deflation mechanisms,Locking and vesting schedules,Governance incentive alignment,B/C/D,Multiple Choice
108,Intermediate,What are common governance attack vectors?,Flash loan attacks,Bribery attacks,Sybil attacks,Governance capture,A/B/C,Multiple Choice
109,Intermediate,What strategies are used for governance minimization?,Automating routine decisions,Setting robust parameters that don't need frequent changes,Using algorithmic governance mechanisms,Reducing decision points that require voting,B/C,Multiple Choice
110,Intermediate,What decision areas does meta-governance involve?,Voting mechanism design,Proposal process rules,Governance parameter adjustments,Governance tool selection,A/B/D,Multiple Choice
111,Intermediate,What applications do multi-signature wallets have in DAOs?,Treasury management,Contract upgrades,Emergency operations,Cross-chain asset management,B/D,Multiple Choice
112,Intermediate,What strategies can improve governance participation rates?,Governance incentives,User experience simplification,Education and onboarding,Delegation mechanisms,A/D,Multiple Choice
113,Intermediate,What mechanisms help prevent governance capture?,Distributed voting power,Voting mechanism design (such as quadratic voting),Timelocks and multi-signature requirements,Transparency and monitoring,A/B/D,Multiple Choice
114,Intermediate,What elements make for effective proposal process design?,Multi-stage deliberation,Community discussion period,Clear proposal standards,Feedback loops,B/C,Multiple Choice
115,Intermediate,What considerations exist for DAO legal wrappers?,Member liability protection,Tax implications,Cross-border compliance,Contract enforcement ability,A/C/D,Multiple Choice
116,Intermediate,What are application scenarios for DAO-to-DAO governance?,Joint funding decisions,Protocol integration,Resource sharing,Cross-DAO proposals,A/C/D,Multiple Choice
117,Intermediate,What advantages do sub-DAO structures provide?,Specialization and autonomy,Risk isolation,Governance scalability,Task-specific optimization,B/C/D,Multiple Choice
118,Intermediate,What does a DAO constitution typically contain?,Core values and principles,Governance structure and powers,Decision-making processes and rules,Amendment and interpretation mechanisms,A/B/C/D,Multiple Choice
119,Intermediate,What features make for effective governance forums?,Structured categorization,Appropriate moderation,Search and archiving functions,Integrated voting and feedback tools,A/B/C/D,Multiple Choice
120,Intermediate,What responsibilities might governance working groups have?,Proposal coordination and support,Governance documentation maintenance,Governance research and improvement,Community education and onboarding,A/B/C/D,Multiple Choice
121,Advanced,"What is the ultimate goal of governance minimization in DAO governance?""",Reducing the number of participants,Creating fully automated systems that eventually don't require human intervention,Lowering operational costs,Simplifying user interfaces,B,Single Choice
122,Advanced,"Which DAO governance model is most resistant to the plutocracy (rule by the wealthy) problem?""",Basic token voting (1 token = 1 vote),Quadratic Voting,Reputation-based voting,Delegated voting,C,Single Choice
123,Advanced,When designing censorship-resistant DAO governance systems, which combination of technologies is most effective?,On-chain voting with multi-signature execution,Off-chain voting with on-chain execution,Zero-knowledge proofs, IPFS storage, and decentralized identity,Centralized servers with encrypted communications,C,Single Choice
124,Advanced,What does governance extraction refer to?,The process of taking funds from a DAO,Using governance power to extract value beyond one's fair share at the expense of other stakeholders,Transferring governance rights to another DAO,Forcing execution of rejected proposals,B,Single Choice
125,Advanced,What does the governance stack refer to?,A pile of governance proposals,The layered architecture of governance systems from protocol layer to application layer,A data structure storing governance history,A set of governance tools,B,Single Choice
126,Advanced,What does composable governance refer to?,Voting with Legos,A system that can combine and reuse different governance modules and mechanisms,A DAO managed only by composers,Using music to create governance rules,B,Single Choice
127,Advanced,What does a governance market refer to?,An exchange for buying governance tokens,A platform for outsourcing governance decisions to experts,A system allowing trading and pricing of governance rights such as vote delegation markets or prediction markets,A government-regulated cryptocurrency market,C,Single Choice
