No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
1,Basic,What does AMM stand for?,Automated Market Maker,Advanced Market Management,Automated Money Market,Asset Management Model,A,No
2,Basic,Which of the following is one of the earliest DeFi lending protocols?,Uniswap,Compound,Chainlink,Yearn Finance,B,No
3,Basic,Which DeFi protocol ranks highest in TVL (Total Value Locked)?,Uniswap,Aave,MakerDAO,Lido,D,No
4,Basic,Which of the following is NOT a common risk in DeFi?,Smart contract vulnerabilities,Oracle failures,Team rug pulls,Impermanent loss,C,No
5,Basic,What is the main characteristic of Flash Loans?,No collateral required,Must be repaid within the same transaction,Long-term borrowing,Low interest rates,B,No
6,Basic,Which of the following is the most popular stablecoin in DeFi?,USDT,USDC,DAI,BUSD,B,No
7,Basic,What does DEX stand for?,Decentralized Exchange,Digital Asset Exchange,Direct Exchange System,Distributed Execution,A,No
8,Basic,Which of the following is NOT a common AMM model?,Constant product,Constant sum,Constant median,Weighted curves,C,No
9,Basic,"What does Yield Farming"" refer to in DeFi?""",Growing crops,Moving funds between different protocols to maximize returns,Holding tokens long-term,Mining new tokens,B,No
10,Basic,Which of the following is NOT a lending protocol in DeFi?,Aave,Compound,MakerDAO,Chainlink,D,No
11,Basic,Which of the following is an oracle service in DeFi?,Uniswap,Chainlink,Compound,SushiSwap,B,No
12,Basic,Which of the following is the largest DEX on Ethereum?,Uniswap,SushiSwap,PancakeSwap,dYdX,A,No
13,Basic,"What is a Liquidity Pool"" in DeFi?""",A pool of funds deposited by users,Exchange reserves,Developer funds,Mining rewards,A,No
14,Basic,Which DeFi protocol focuses on optimizing stablecoin trading?,Uniswap,Aave,Curve,Balancer,C,No
15,Basic,Which of the following is NOT a derivatives protocol in DeFi?,dYdX,Synthetix,Opyn,Compound,D,No
16,Basic,"What behavior does Liquidity Mining"" primarily reward in DeFi?""",Trading frequency,Providing liquidity,Holding tokens,Developing applications,B,No
17,Basic,Which of the following is an asset management protocol in DeFi?,Yearn Finance,Uniswap,Compound,Chainlink,A,No
18,Basic,Which of the following is the most popular cross-chain bridge in DeFi?,Wormhole,Multichain,Hop Protocol,Stargate,A,No
19,Basic,"What is Impermanent Loss"" in DeFi most related to?""",Lending rates,Asset price changes,Network congestion,Governance decisions,B,No
20,Basic,Which of the following is NOT a yield aggregator in DeFi?,Yearn Finance,Harvest Finance,Pickle Finance,Uniswap,D,No
21,Basic,Which DeFi trend has gained more attention?,Real-time payments,Tokenization of physical assets,Centralized control,Closed ecosystems,B,No
22,Basic,"What do Liquidity Providers"" primarily do in DeFi?""",Provide funds to protocols,Develop smart contracts,Audit protocols,Manage protocols,A,No
23,Basic,Which of the following is NOT a lending model in DeFi?,Overcollateralized,Flash loans,Credit loans,Uncollateralized loans,C,No
24,Basic,Which of the following is a decentralized options protocol in DeFi?,Opyn,Aave,Compound,Curve,A,No
25,Basic,Which of the following is the most popular Layer 2 solution in DeFi?,Optimism,Arbitrum,zkSync,StarkNet,B,No
26,Basic,"What does Liquidity Mining"" typically reward in DeFi?""",Protocol tokens,Fiat currency,Physical assets,Service points,A,No
27,Basic,Which DeFi protocol focuses on fixed income products?,Element Finance,Uniswap,Aave,Curve,A,No
28,Basic,"Which protocol first popularized Liquidity Mining"" in DeFi?""",Uniswap,Compound,Aave,SushiSwap,B,No
29,Basic,Which of the following is the most popular yield aggregator in DeFi?,Yearn Finance,Harvest Finance,Pickle Finance,Convex Finance,D,No
30,Basic,"What do Flash Loan Attacks"" primarily exploit in DeFi?""",Large uncollateralized loans,Network congestion,User passwords,Centralized vulnerabilities,A,No
31,Basic,Which of the following is NOT a stablecoin in DeFi?,DAI,USDC,USDT,BTC,D,No
