No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
1,Basic,Which standard defines NFTs on Ethereum?,ERC-20,ERC-721,ERC-777,ERC-1155,B,Single Choice
2,Basic,Which of the following is NOT a common storage method for NFT metadata?,IPFS,Arweave,Centralized servers,On-chain storage,D,Single Choice
3,Basic,What is the main difference between ERC-1155 and ERC-721?,ERC-1155 supports minting multiple NFTs at once, saving gas,ERC-1155 can only be used for game NFTs,ERC-1155 allows for the creation of both fungible and non-fungible tokens in the same contract,ERC-1155 doesn't support metadata,C,Single Choice
4,Basic,Which of the following is NOT a mainstream NFT marketplace platform?,OpenSea,Rarible,LooksRare,UniSwap,D,Single Choice
5,Basic,Which of the following is NOT a common method for evaluating NFT rarity?,Trait count,Trait rarity,Statistical rarity,Market cap ranking,D,Single Choice
6,Basic,"What does Composability"" mean in the context of NFTs?""",NFTs can be physically printed,NFTs can interact with and integrate with other NFTs or smart contracts,NFTs can be broken down into multiple parts,NFTs can be transferred between different blockchains,B,Single Choice
7,Basic,"What is an Off-chain"" NFT?""",Digital art that doesn't use blockchain technology,An NFT with metadata and content stored outside the blockchain, with only references stored on-chain,An NFT design that hasn't been minted yet,An NFT that has been removed from the blockchain,B,Single Choice
8,Basic,"What is a Dynamic NFT""?""",An NFT that can move between different blockchains,An NFT that can change its attributes or appearance based on external conditions or triggers,An NFT with high price volatility,An NFT that contains animation,B,Single Choice
9,Basic,Which of the following is NOT a common use case for dynamic NFTs?,Game characters that evolve over time,Digital art that changes based on real-world data,Digital twins that reflect the state of physical assets,Entry tickets for related communities,D,Single Choice
10,Basic,"What is NFT Fractionalization""?""",Dividing an NFT into multiple parts, each represented by different tokens,Creating an NFT with multiple components,Breaking down an NFT into original pixels,Listing an NFT on multiple marketplaces simultaneously,A,Single Choice
11,Basic,"What is the role of Approval"" in NFT transactions?""",The platform approves an NFT for sale,The user allows a specific address or contract to transfer NFTs on their behalf,The creator verifies the authenticity of the NFT,The community votes to determine the value of the NFT,B,Single Choice
12,Basic,"What is a Dutch Auction""?""",An auction where only Dutch users can participate,An auction mechanism where the price decreases from high to low until someone purchases,A mechanism where multiple NFTs are auctioned simultaneously,An auction paid in Dutch guilders,B,Single Choice
13,Basic,"What is an English Auction""?""",An auction where only English users can participate,An auction paid in British pounds,An auction mechanism where the price increases from low to high, with the highest bidder winning,A 24-hour time-limited auction,C,Single Choice
14,Basic,"What is the role of Metadata"" in NFTs?""",Only used to describe the creation date of the NFT,Contains information about the NFT's attributes, characteristics, and content links,Used to calculate the rarity of the NFT,Only used to store creator information,B,Single Choice
15,Basic,"What does Presale"" mean in NFT releases?""",Trading NFTs on secondary markets,Priority purchasing opportunities for specific groups before the public sale,Marketing campaigns before an NFT release,NFTs sold at discounted prices,B,Single Choice
