No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
1,Basic,"What is a Flash Loan Attack""?""",A vulnerability exploiting the Lightning Network,An attack executed within a single block using large uncollateralized loans,Stealing funds through rapid transactions,Disrupting blockchain nodes using flashlights,B,Single Choice
2,Basic,"What is an Integer Overflow"" vulnerability?""",A problem where an integer wraps around to its minimum value when exceeding its maximum value,Congestion when too many users access a contract simultaneously,A problem caused by storing too many integers on the blockchain,Improper initialization of integer variables,A,Single Choice
3,Basic,"What is a Random Number Generation"" vulnerability?""",Hardware failure in random number generators,Using predictable or manipulable random number sources in a blockchain environment,Computational problems caused by random numbers being too large,Security issues caused by random numbers being too small,B,Single Choice
4,Basic,"What is a Timestamp Dependence"" vulnerability?""",A problem where smart contracts rely too heavily on system clocks,Problems caused by transactions taking too long,A risk in contracts that depend on block timestamps, which can be manipulated by miners within a certain range,Problems with inconsistent block confirmation times,C,Single Choice
5,Basic,"What is a Signature Replay"" attack?""",Repeatedly playing back a digital signature,Forging a digital signature,An attack where a valid signature is reused in a different context,Breaking the signature algorithm,C,Single Choice
6,Basic,"What is a Sybil Attack""?""",An attack launched by women,An attack targeting female users,An attack where an attacker creates multiple fake identities to gain disproportionate influence,An attack using ancient witch spells,C,Single Choice
7,Basic,"What is a Long Range Attack""?""",A physical attack launched from a distance,A long-running attack script,In proof-of-stake systems, an attack that creates an alternative chain starting from the genesis block,An attack targeting long-term holders,C,Single Choice
8,Basic,"What is a Nothing-at-Stake"" attack?""",A no-risk investment strategy,An attack with no economic incentives,In proof-of-stake systems, validators can costlessly stake on multiple chains simultaneously,An attack requiring no stake,C,Single Choice
9,Basic,"What are zk-STARKs""?""",An interstellar communication protocol,A blockchain scaling solution,Zero-Knowledge Scalable Transparent Arguments of Knowledge, a zero-knowledge proof system that doesn't rely on trusted setup,A smart contract programming language,C,Single Choice
10,Basic,"What is Tornado Cash""?""",A cryptocurrency exchange,A decentralized finance application,An Ethereum mixing protocol based on zero-knowledge proofs,A blockchain game,C,Single Choice
