No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
1,basic,Which variable type in Solidity is used to store Ether amounts?,uint,int,wei,ether,A,Single Choice
2,basic,"What is the characteristic of the external"" function visibility modifier in Solidity?""",Can only be called from within the contract,Can only be called from outside the contract,Can be called from both inside and outside the contract,Can only be called by inherited contracts,B,Single Choice
3,basic,What is the latest stable version of Solidity?,0.7.0,0.8.0,0.8.20,0.8.24,D,Single Choice
4,basic,Which of the following keywords in Solidity is used for handling exceptions?,try/catch,if/else,require,return,C,Single Choice
5,basic,Which feature is not supported by the Vyper language?,Loops,Inheritance,Conditional statements,Functions,B,Single Choice
6,basic,"In Solidity, what does msg.sender"" represent?""",The contract creator,The current caller's address,The contract address,The transaction initiator,B,Single Choice
7,basic,In Vyper, which keyword is used to define constants?,constant,constant,immutable,final,B,Single Choice
8,basic,What is the latest stable version of Vyper?,0.3.0,0.3.7,0.4.0,1.0.0,B,Single Choice
9,basic,"What is the characteristic of a ""constructor"" in smart contracts?",Can be called multiple times,Only executed once when the contract is deployed,Must be public,Cannot accept parameters,B,Single Choice
10,basic,Which of the following is not an array operation in Solidity?,push,pop,length,sort,D,Single Choice
11,basic,"What is a characteristic of library contracts"" in Solidity?""",Can have state variables,Can inherit from other contracts,Cannot have state variables,Can receive Ether,C,Single Choice
12,basic,What inheritance feature does Solidity support?,Single inheritance,Multiple inheritance,Private inheritance,Dynamic inheritance,B,Single Choice
13,basic,"What is a characteristic of interfaces"" in Solidity?""",Can include implementations,Can have constructors,Can only declare functions,Can have state variables,C,Single Choice
14,basic,Which of the following is not a method for creating contracts in Solidity?,new keyword,Clone proxy,Factory pattern,import statement,D,Single Choice
15,basic,"What is a characteristic of ""abstract contracts"" in Solidity?",Cannot be deployed,Cannot have state variables,Cannot have function implementations,Cannot be inherited,A,Single Choice
16,basic,Which of the following is not a compilation tool for smart contracts?,solc,vyper,truffle,metamask,D,Single Choice
17,basic,Which of the following is not a control structure in Vyper?,if,for,while,switch,D,Single Choice
18,basic,Which of the following is not a built-in global variable in Solidity?,msg.sender,block.timestamp,tx.origin,contract.balance,D,Single Choice
19,basic,"In Solidity, what is the purpose of assembly"" blocks?""",Writing low-level EVM opcodes,Assembling contract components,Creating contract interfaces,Defining contract structure,A,Single Choice
20,basic,In Vyper, which of the following is a built-in variable for handling time?,now,timestamp,block.timestamp,current_time,C,Single Choice
21,basic,Which of the following is not a method for storing arrays in Solidity?,Fixed-size arrays,Dynamic arrays,Mappings,Linked lists,D,Single Choice
22,basic,In Solidity, what is the keyword for inheritance?,extends,inherits,implements,is,D,Single Choice
23,basic,Which of the following is not a built-in cryptographic function in Vyper?,sha256,keccak256,ripemd160,md5,D,Single Choice
24,basic,"What is the main purpose of the ""Timelock"" mechanism in smart contracts?",Delaying contract execution,Limiting contract call frequency,Setting contract expiration time,Synchronizing contract time,A,Single Choice
25,basic,Which of the following is not an error handling approach in Solidity?,"require(condition, message"")""",assert(condition),"revert(message"")""",try/catch,D,Single Choice
26,basic,Which of the following is not a valid function visibility in Vyper?,public,private,external,protected,D,Single Choice
27,basic,"What does ""ERC"" stand for in smart contracts?",Ethereum Request for Comments,Ethereum Record Collection,Ethereum Resource Control,Ethereum Blockchain Rules,A,Single Choice
